Selected parameters:
 1 Timeshift
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSE)
 4 BZ, nT (GSE)
 5 Vx Velocity,km/s
 6 Vy Velocity, km/s
 7 Vz Velocity, km/s
 8 Proton Density, n/cc
 9 Proton Temperature, K
10 Flow pressure, nPa
11 AL-index, nT

YYYY DOY HR MN     1       2       3       4       5       6       7      8        9    10    11 
2015  73  0  0   3575   -1.72    5.69    4.13  -363.0   -46.2    -9.8   8.51   26369.  2.28   -21
2015  73  0  1   3581   -1.79    5.35    4.47  -363.3   -46.0    -9.4   8.64   26608.  2.32   -19
2015  73  0  2   3581   -1.49    5.70    4.26  -364.6   -42.5   -13.4   8.12   28096.  2.19   -20
2015  73  0  3   3551   -1.45    6.44    3.21  -364.5   -45.1   -10.0   8.13   26266.  2.19   -19
2015  73  0  4   3547   -1.87    6.08    3.60  -364.1   -47.0    -8.9   8.16   26391.  2.20   -17
2015  73  0  5   3550   -1.97    5.95    3.69  -363.0   -44.8   -10.8   8.35   27396.  2.24   -18
2015  73  0  6   3527   -2.00    5.59    4.18  -363.5   -44.4   -12.6   8.28   28275.  2.22   -17
2015  73  0  7   3521   -2.67    5.16    4.32  -361.6   -47.1   -13.4   9.54   26696.  2.54   -14
2015  73  0  8   3477   -2.41    5.76    3.74  -360.5   -44.1   -13.3   8.68   29103.  2.29    -8
2015  73  0  9   3417   -1.90    6.10    3.44  -362.0   -46.9   -12.1   9.11   28778.  2.43   -10
2015  73  0 10   3374   -2.19    5.89    3.45  -361.4   -47.1   -10.2   8.84   28910.  2.35   -15
2015  73  0 11   3318   -2.19    5.55    3.76  -361.3   -47.3   -12.1   8.87   28555.  2.36   -11
2015  73  0 12   3236   -2.85    5.20    3.87  -361.3   -45.4   -13.2   8.63   29806.  2.29   -12
2015  73  0 13   3169   -3.50    4.92    3.58  -358.5   -41.5   -12.6   9.13   34148.  2.38   -12
2015  73  0 14   3146   -3.11    5.20    3.69  -359.5   -42.5   -12.5   9.21   33308.  2.42   -19
2015  73  0 15   3130   -2.67    5.38    3.71  -360.2   -41.9   -12.0   9.12   33424.  2.40   -20
2015  73  0 16   3147   -2.47    5.58    3.72  -360.4   -44.0   -13.4   8.95   30833.  2.36   -18
2015  73  0 17   3161   -2.26    5.84    3.62  -359.9   -45.2   -11.1   8.51   28747.  2.24   -18
2015  73  0 18   3156   -2.18    6.00    3.52  -359.7   -45.4   -10.8   8.41   28091.  2.21   -16
2015  73  0 19   3191   -2.09    5.97    3.56  -360.5   -45.0   -11.0   8.05   27975.  2.13   -14
2015  73  0 20   3215   -2.04    6.12    3.29  -360.5   -45.0   -11.0   8.05   27975.  2.13   -15
2015  73  0 21   3250   -2.07    6.01    3.40 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  0 22   3282   -2.23    6.04    3.32  -360.2   -47.4    -9.7   8.33   27863.  2.20   -15
2015  73  0 23   3300   -2.03    6.14    3.29  -360.0   -47.4    -9.5   8.68   29686.  2.29   -15
2015  73  0 24   3277   -1.69    6.27    2.89  -360.4   -47.8    -9.5   8.78   27999.  2.32   -15
2015  73  0 25   3260   -1.09    6.43    2.18  -363.1   -51.4    -6.7   9.28   28409.  2.50   -15
2015  73  0 26   3280   -0.70    6.50    2.01  -363.1   -52.1    -5.5   9.06   27454.  2.44   -17
2015  73  0 27   3285   -0.62    6.64    1.80  -363.7   -52.2    -5.8   9.02   27534.  2.44   -17
2015  73  0 28   3307   -1.15    6.53    2.06  -365.2   -52.5    -6.6   8.93   27720.  2.43   -16
2015  73  0 29   3319   -1.12    6.41    2.32  -362.6   -52.8    -6.3   9.81   27724.  2.63   -16
2015  73  0 30   3309   -1.50    6.08    2.95  -362.6   -52.8    -6.3   9.81   27724.  2.63   -17
2015  73  0 31   3311   -1.15    6.40    2.29  -363.9   -51.9    -8.2   9.53   28439.  2.58   -17
2015  73  0 32   3320   -1.15    6.49    2.21  -363.5   -52.2    -7.0   9.63   25637.  2.60   -17
2015  73  0 33   3311   -1.04    6.48    2.33  -364.3   -51.5    -7.1   9.29   26877.  2.52   -17
2015  73  0 34   3319   -0.86    6.45    2.47  -364.2   -52.4    -7.0   9.21   26350.  2.50   -17
2015  73  0 35   3320   -0.88    6.44    2.48  -364.5   -53.5    -6.4   9.19   26388.  2.50   -17
2015  73  0 36   3309   -0.60    6.36    2.60  -365.1   -53.3    -6.6   9.15   26757.  2.49   -16
2015  73  0 37   3299   -0.90    6.03    3.33  -364.5   -51.8    -8.8   9.18   27748.  2.49   -17
2015  73  0 38   3314   -1.12    6.10    3.19  -364.0   -51.5    -9.5   9.23   28521.  2.50   -16
2015  73  0 39   3326   -0.88    6.45    2.42  -361.4   -50.8    -9.8   9.76   25882.  2.60   -16
2015  73  0 40   3331   -0.70    6.52    2.35  -364.4   -52.8    -5.8   9.16   25646.  2.48   -17
2015  73  0 41   3325   -0.64    6.52    2.42  -363.4   -52.8    -6.8   9.17   26273.  2.47   -17
2015  73  0 42   3318   -0.54    6.49    2.52  -365.7   -54.2    -6.8   9.01   25472.  2.46   -17
2015  73  0 43   3311   -0.65    6.33    2.79  -363.6   -52.0    -8.1   9.55   26769.  2.58   -16
2015  73  0 44   3312   -0.98    6.43    2.35  -363.9   -50.1   -10.3   9.27   27928.  2.50   -16
2015  73  0 45   3338   -0.94    6.58    1.95  -362.7   -52.6    -6.5   9.28   26576.  2.49   -16
2015  73  0 46   3348   -1.20    6.57    1.72  -362.6   -52.2    -6.5   9.30   26652.  2.50   -16
2015  73  0 47   3344   -0.86    6.36    2.44  -362.0   -50.1    -6.6   9.56   27319.  2.55   -16
2015  73  0 48   3307   -0.81    6.03    3.17  -362.2   -49.8    -7.4   9.91   28144.  2.65   -16
2015  73  0 49   3287    0.07    6.36    2.52  -363.9   -49.3   -12.3   9.28   28306.  2.51   -16
2015  73  0 50   3296    0.51    6.49    2.36  -367.5   -50.7    -7.7   9.30   29307.  2.56   -15
2015  73  0 51   3302    0.45    6.55    2.23  -368.3   -51.8    -6.1   8.92   26158.  2.47   -15
2015  73  0 52   3300    0.45    6.50    2.27  -367.8   -50.3    -6.7   9.20   26880.  2.54   -15
2015  73  0 53   3297    0.50    6.49    2.37  -367.5   -50.2    -7.5   8.71   26674.  2.40   -16
2015  73  0 54   3316    0.25    6.56    2.02  -367.5   -50.4    -7.7   8.50   26503.  2.34   -14
2015  73  0 55   3343   -0.38    6.72    1.00 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
